date,open
2014-01-17,22.6
2014-01-16,22.42
2014-01-15,22.5
2014-01-14,22.76
2014-01-13,23.27
2014-01-10,23.31
2014-01-09,23.1
2014-01-08,22.92
2014-01-07,24.3
2014-01-06,24.5
2014-01-03,24.04
2014-01-02,24.24
2013-12-30,24.35
2013-12-27,24.28
2013-12-23,24.17
2013-12-20,24.29
2013-12-19,24.45
2013-12-18,23.9
2013-12-17,24.0
2013-12-16,24.15
2013-12-13,24.4
2013-12-12,24.02
2013-12-11,24.45
2013-12-10,24.9
2013-12-09,24.7
2013-12-06,24.6
2013-12-05,24.5
2013-12-04,23.31
2013-12-03,23.94
2013-12-02,23.9
2013-11-29,23.81
2013-11-28,23.8
2013-11-27,23.73
2013-11-26,23.46
2013-11-25,23.77
2013-11-22,23.7
2013-11-21,23.55
2013-11-20,23.91
2013-11-19,23.8
2013-11-18,24.09
2013-11-15,23.19
2013-11-14,23.05
2013-11-13,22.8
2013-11-12,23.44
2013-11-11,23.25
2013-11-08,23.02
2013-11-07,23.0
2013-11-06,23.15
2013-11-05,23.57
2013-11-04,23.35
2013-11-01,23.3
2013-10-31,23.11
2013-10-30,23.3
2013-10-29,22.91
2013-10-28,23.1
2013-10-25,23.03
2013-10-24,23.01
2013-10-23,22.0
2013-10-22,22.0
2013-10-21,21.91
2013-10-18,21.91
2013-10-17,21.99
2013-10-16,22.09
2013-10-15,21.99
2013-10-14,22.09
2013-10-11,22.0
2013-10-10,21.85
2013-10-09,21.85
2013-10-08,22.0
2013-10-07,22.02
2013-10-04,22.15
2013-10-03,22.2
2013-10-02,22.19
2013-10-01,22.02
2013-09-30,21.75
2013-09-27,21.66
2013-09-26,22.23
2013-09-25,22.29
2013-09-24,22.81
2013-09-23,22.88
2013-09-20,22.82
2013-09-19,23.13
2013-09-18,23.12
2013-09-17,23.1
2013-09-16,23.38
2013-09-13,23.22
2013-09-12,23.21
2013-09-11,23.0
2013-09-10,22.8
2013-09-09,22.98
2013-09-06,23.5
2013-09-05,23.59
2013-09-04,23.44
2013-09-03,23.17
2013-09-02,23.1
2013-08-30,23.0
2013-08-29,22.76
2013-08-28,23.0
2013-08-27,23.31
2013-08-26,23.65
2013-08-23,23.79
2013-08-22,23.54
2013-08-21,23.65
2013-08-20,23.5
2013-08-19,23.51
2013-08-16,23.5
2013-08-15,24.15
2013-08-14,25.06
2013-08-13,25.26
2013-08-12,25.51
2013-08-09,25.21
2013-08-08,25.05
2013-08-07,25.7
2013-08-06,25.52
2013-08-05,25.5
2013-08-02,25.52
2013-08-01,25.3
2013-07-31,25.8
2013-07-30,25.71
2013-07-29,25.86
2013-07-26,26.15
2013-07-25,26.13
2013-07-24,25.93
2013-07-23,26.51
2013-07-22,26.09
2013-07-19,26.53
2013-07-18,26.64
2013-07-17,26.65
2013-07-16,26.69
2013-07-15,26.89
2013-07-12,26.44
2013-07-11,26.3
2013-07-10,26.02
2013-07-09,25.93
2013-07-08,25.24
2013-07-05,25.2
2013-07-04,25.1
2013-07-03,25.26
2013-07-02,25.42
2013-07-01,25.5
2013-06-28,25.32
2013-06-27,25.12
2013-06-26,25.2
2013-06-25,24.98
2013-06-24,25.35
2013-06-21,25.3
2013-06-20,25.8
2013-06-19,26.2
2013-06-18,25.62
2013-06-17,25.2
2013-06-14,25.2
2013-06-13,24.99
2013-06-12,25.09
2013-06-11,25.2
2013-06-10,25.19
2013-06-07,24.48
2013-06-06,24.38
2013-06-05,23.93
2013-06-04,24.3
2013-06-03,24.59
2013-05-31,24.46
2013-05-30,24.34
2013-05-29,24.8
2013-05-28,24.57
2013-05-27,24.4
2013-05-24,24.41
2013-05-23,24.45
2013-05-22,24.4
2013-05-21,24.75
2013-05-20,24.65
2013-05-17,25.14
2013-05-16,26.08
2013-05-15,26.48
2013-05-14,24.99
2013-05-13,24.73
2013-05-10,24.0
2013-05-09,24.03
2013-05-08,23.07
2013-05-07,22.95
2013-05-06,23.06
2013-05-03,22.96
2013-05-02,23.03
2013-04-30,22.83
2013-04-29,23.15
2013-04-26,22.72
2013-04-25,22.37
2013-04-24,22.59
2013-04-23,21.82
2013-04-22,21.9
2013-04-19,21.09
2013-04-18,21.51
2013-04-17,21.77
2013-04-16,22.83
2013-04-15,23.06
2013-04-12,23.13
2013-04-11,23.16
2013-04-10,23.26
2013-04-09,23.38
2013-04-08,23.28
2013-04-05,24.28
2013-04-04,24.46
2013-04-03,24.86
2013-04-02,24.6
2013-03-28,23.96
2013-03-27,24.25
2013-03-26,24.31
2013-03-25,23.6
2013-03-22,23.09
2013-03-21,22.91
2013-03-20,22.43
2013-03-19,22.7
2013-03-18,22.81
2013-03-15,23.04
2013-03-14,22.96
2013-03-13,23.0
2013-03-12,23.43
2013-03-11,23.3
2013-03-08,23.76
2013-03-07,23.73
2013-03-06,24.11
2013-03-05,24.4
2013-03-04,24.09
2013-03-01,24.06
2013-02-28,23.91
2013-02-27,23.63
2013-02-26,23.65
2013-02-25,24.0
2013-02-22,24.08
2013-02-21,24.25
2013-02-20,23.85
2013-02-19,23.56
2013-02-18,22.5
2013-02-15,23.65
2013-02-14,24.76
2013-02-13,24.39
2013-02-12,24.22
2013-02-11,24.06
2013-02-08,24.6
2013-02-07,24.7
2013-02-06,24.36
2013-02-05,24.18
2013-02-04,24.23
2013-02-01,24.24
2013-01-31,24.01
2013-01-30,23.84
2013-01-29,23.85
2013-01-28,24.25
